Day of Date,Reg,Segmen Produk,Revenue,Target
1/8/2023,Reg 4,Remittance & Sharia,4691773,0
1/8/2023,Reg 5,Bendapos & Meterai,6604710,0
1/8/2023,Reg 5,Fronting,19409291,0
1/8/2023,Reg 5,Fund Distribution,0,0
1/8/2023,Reg 5,Payment,-5283141,0
1/8/2023,Reg 5,Remittance & Sharia,7347043,0
1/8/2023,Reg 6,Bendapos & Meterai,5566364,0
1/8/2023,Reg 6,Fronting,20245752,0
1/8/2023,Reg 6,Fund Distribution,0,0
1/8/2023,Reg 6,Payment,-5801443,0
1/8/2023,Reg 6,Remittance & Sharia,8390074,0
1/9/2023,Pospay,Bendapos & Meterai,0,0
1/9/2023,Pospay,Fronting,76575,0
1/9/2023,Pospay,Payment,105290651,0
1/9/2023,Pospay,Remittance & Sharia,63278051,0
1/9/2023,Reg 1,Bendapos & Meterai,168882961,0
1/9/2023,Reg 1,Fronting,29963218,0
1/9/2023,Reg 1,Fund Distribution,0,0
1/9/2023,Reg 1,Payment,239643009,0
1/9/2023,Reg 1,Remittance & Sharia,45906191,0
1/9/2023,Reg 2,Bendapos & Meterai,181314450,0
1/9/2023,Reg 2,Fronting,11284568,0
1/9/2023,Reg 2,Fund Distribution,0,0
1/9/2023,Reg 2,Payment,122493085,0
1/9/2023,Reg 2,Remittance & Sharia,77333132,0
1/9/2023,Reg 3,Bendapos & Meterai,86252888,0
1/9/2023,Reg 3,Fronting,18423796,0
1/9/2023,Reg 3,Fund Distribution,0,0
1/9/2023,Reg 3,Payment,71137876,0
1/9/2023,Reg 3,Remittance & Sharia,139873488,0
1/9/2023,Reg 4,Bendapos & Meterai,130282439,0
1/9/2023,Reg 4,Fronting,17139646,0
1/9/2023,Reg 4,Payment,153207108,0
1/9/2023,Reg 4,Remittance & Sharia,33998221,0
1/9/2023,Reg 5,Bendapos & Meterai,246330303,0
1/9/2023,Reg 5,Fronting,29711803,0
1/9/2023,Reg 5,Fund Distribution,0,0
1/9/2023,Reg 5,Payment,169729776,0
1/9/2023,Reg 5,Remittance & Sharia,91192613,0
1/9/2023,Reg 6,Bendapos & Meterai,144976050,0
1/9/2023,Reg 6,Fronting,27273169,0
1/9/2023,Reg 6,Fund Distribution,0,0
1/9/2023,Reg 6,Payment,227540961,0
1/9/2023,Reg 6,Remittance & Sharia,47786262,0
1/10/2023,Pospay,Bendapos & Meterai,0,0
1/10/2023,Pospay,Fronting,69964,0
1/10/2023,Pospay,Payment,97621090,0
1/10/2023,Pospay,Remittance & Sharia,15859330,0
1/10/2023,Reg 1,Bendapos & Meterai,187053890,0
1/10/2023,Reg 1,Fronting,24532273,0
1/10/2023,Reg 1,Fund Distribution,0,0
1/10/2023,Reg 1,Payment,207734804,0
1/10/2023,Reg 1,Remittance & Sharia,34162591,0
1/10/2023,Reg 2,Bendapos & Meterai,330344871,0
1/10/2023,Reg 2,Fronting,9466934,0
1/10/2023,Reg 2,Fund Distribution,0,0
1/10/2023,Reg 2,Payment,101341851,0
1/10/2023,Reg 2,Remittance & Sharia,51001243,0
1/10/2023,Reg 3,Bendapos & Meterai,86329914,0
1/10/2023,Reg 3,Fronting,13131352,0
1/10/2023,Reg 3,Fund Distribution,0,0
1/10/2023,Reg 3,Payment,62578662,0
1/10/2023,Reg 3,Remittance & Sharia,90859501,0
1/10/2023,Reg 4,Bendapos & Meterai,111732411,0
1/10/2023,Reg 4,Fronting,13127508,0
1/10/2023,Reg 4,Payment,133316398,0
1/10/2023,Reg 4,Remittance & Sharia,26262429,0
1/10/2023,Reg 5,Bendapos & Meterai,197859135,0
1/10/2023,Reg 5,Fronting,22502667,0
1/10/2023,Reg 5,Fund Distribution,0,0
1/10/2023,Reg 5,Payment,155504902,0
1/10/2023,Reg 5,Remittance & Sharia,62562747,0
1/10/2023,Reg 6,Bendapos & Meterai,141754351,0
1/10/2023,Reg 6,Fronting,22115888,0
1/10/2023,Reg 6,Payment,195420825,0
1/10/2023,Reg 6,Remittance & Sharia,44225123,0
1/11/2023,Pospay,Bendapos & Meterai,0,0
1/11/2023,Pospay,Fronting,71897,0
1/11/2023,Pospay,Fund Distribution,2103,0
1/11/2023,Pospay,Payment,80791899,0
1/11/2023,Pospay,Remittance & Sharia,13093984,0
1/11/2023,Reg 1,Bendapos & Meterai,196264076,0
1/11/2023,Reg 1,Fronting,21852723,0
1/11/2023,Reg 1,Fund Distribution,1823502,0
1/11/2023,Reg 1,Payment,156304111,0
1/11/2023,Reg 1,Remittance & Sharia,31536445,0
1/11/2023,Reg 2,Bendapos & Meterai,322538758,0
1/11/2023,Reg 2,Fronting,8299552,0
1/11/2023,Reg 2,Fund Distribution,804523,0
1/11/2023,Reg 2,Payment,76731602,0
1/11/2023,Reg 2,Remittance & Sharia,44210679,0
1/11/2023,Reg 3,Bendapos & Meterai,98289324,0
1/11/2023,Reg 3,Fronting,11471501,0
1/11/2023,Reg 3,Fund Distribution,1121197,0
1/11/2023,Reg 3,Payment,48265143,0
1/11/2023,Reg 3,Remittance & Sharia,78265246,0
1/11/2023,Reg 4,Bendapos & Meterai,157327335,0
1/11/2023,Reg 4,Fronting,11827161,0
1/11/2023,Reg 4,Fund Distribution,1120850,0
1/11/2023,Reg 4,Payment,104704525,0
1/11/2023,Reg 4,Remittance & Sharia,22208667,0
1/11/2023,Reg 5,Bendapos & Meterai,189445205,0
1/11/2023,Reg 5,Fronting,20260558,0
1/11/2023,Reg 5,Fund Distribution,10810970,0
1/11/2023,Reg 5,Payment,109690663,0
1/11/2023,Reg 5,Remittance & Sharia,54549956,0
1/11/2023,Reg 6,Bendapos & Meterai,147601858,0
1/11/2023,Reg 6,Fronting,19804511,0
1/11/2023,Reg 6,Fund Distribution,2497599,0
1/11/2023,Reg 6,Payment,155518862,0
1/11/2023,Reg 6,Remittance & Sharia,36314012,0
1/12/2023,Pospay,Bendapos & Meterai,0,0
1/12/2023,Pospay,Fronting,55235,0
1/12/2023,Pospay,Payment,78297449,0
1/12/2023,Pospay,Remittance & Sharia,10582556,0
1/12/2023,Reg 1,Bendapos & Meterai,174610331,0
1/12/2023,Reg 1,Fronting,18217701,0
1/12/2023,Reg 1,Payment,155550480,0
1/12/2023,Reg 1,Remittance & Sharia,28157946,0
1/12/2023,Reg 2,Bendapos & Meterai,363690258,0
1/12/2023,Reg 2,Fronting,7053321,0
1/12/2023,Reg 2,Payment,68028862,0
1/12/2023,Reg 2,Remittance & Sharia,40683586,0
1/12/2023,Reg 3,Bendapos & Meterai,96912339,0
1/12/2023,Reg 3,Fronting,10000314,0
1/12/2023,Reg 3,Payment,45079985,0
1/12/2023,Reg 3,Remittance & Sharia,72161899,0
1/12/2023,Reg 4,Bendapos & Meterai,134548158,0
1/12/2023,Reg 4,Fronting,9775379,0
1/12/2023,Reg 4,Payment,105027015,0
1/12/2023,Reg 4,Remittance & Sharia,21827881,0
1/12/2023,Reg 5,Bendapos & Meterai,206481555,0
1/12/2023,Reg 5,Fronting,16890648,0
1/12/2023,Reg 5,Payment,107728175,0
1/12/2023,Reg 5,Remittance & Sharia,50376164,0
1/12/2023,Reg 6,Bendapos & Meterai,138570800,0
1/12/2023,Reg 6,Fronting,16419793,0
1/12/2023,Reg 6,Payment,148281050,0
1/12/2023,Reg 6,Remittance & Sharia,31537167,0
1/13/2023,Pospay,Bendapos & Meterai,0,0
1/13/2023,Pospay,Fronting,34826,0
1/13/2023,Pospay,Payment,72959652,0
1/13/2023,Pospay,Remittance & Sharia,6172381,0
1/13/2023,Reg 1,Bendapos & Meterai,170565628,0
1/13/2023,Reg 1,Fronting,49845012,0
1/13/2023,Reg 1,Payment,154767738,0
1/13/2023,Reg 1,Remittance & Sharia,25632901,0
1/13/2023,Reg 2,Bendapos & Meterai,272892050,0
1/13/2023,Reg 2,Fronting,26550679,0
1/13/2023,Reg 2,Payment,60059375,0
1/13/2023,Reg 2,Remittance & Sharia,36416125,0
1/13/2023,Reg 3,Bendapos & Meterai,79474065,0
1/13/2023,Reg 3,Fronting,28693047,0
1/13/2023,Reg 3,Payment,41346644,0
1/13/2023,Reg 3,Remittance & Sharia,64993412,0
1/13/2023,Reg 4,Bendapos & Meterai,98338711,0
1/13/2023,Reg 4,Fronting,28909167,0
1/13/2023,Reg 4,Payment,95402667,0
1/13/2023,Reg 4,Remittance & Sharia,22237965,0
1/13/2023,Reg 5,Bendapos & Meterai,126161425,0
1/13/2023,Reg 5,Fronting,57232345,0
1/13/2023,Reg 5,Payment,92988232,0
1/13/2023,Reg 5,Remittance & Sharia,43885720,0
1/13/2023,Reg 6,Bendapos & Meterai,141446797,0
1/13/2023,Reg 6,Fronting,54528738,0
1/13/2023,Reg 6,Payment,141671388,0
1/13/2023,Reg 6,Remittance & Sharia,32799854,0
1/14/2023,Pospay,Bendapos & Meterai,0,0
1/14/2023,Pospay,Fronting,3367,0
1/14/2023,Pospay,Payment,58654877,0
1/14/2023,Pospay,Remittance & Sharia,-22009521,0
1/14/2023,Reg 1,Bendapos & Meterai,83760252,0
1/14/2023,Reg 1,Fronting,39798441,0
1/14/2023,Reg 1,Payment,84963661,0
1/14/2023,Reg 1,Remittance & Sharia,21050852,0
1/14/2023,Reg 2,Bendapos & Meterai,172543744,0
1/14/2023,Reg 2,Fronting,23065137,0
1/14/2023,Reg 2,Payment,33410303,0
1/14/2023,Reg 2,Remittance & Sharia,25148068,0
1/14/2023,Reg 3,Bendapos & Meterai,35984407,0
1/14/2023,Reg 3,Fronting,23758524,0
1/14/2023,Reg 3,Payment,25076218,0
1/14/2023,Reg 3,Remittance & Sharia,35046296,0
1/14/2023,Reg 4,Bendapos & Meterai,58492323,0
1/14/2023,Reg 4,Fronting,24726499,0
1/14/2023,Reg 4,Payment,61427784,0
1/14/2023,Reg 4,Remittance & Sharia,13958683,0
1/14/2023,Reg 5,Bendapos & Meterai,74438374,0
1/14/2023,Reg 5,Fronting,49803888,0
1/14/2023,Reg 5,Payment,55080372,0
1/14/2023,Reg 5,Remittance & Sharia,25860697,0
1/14/2023,Reg 6,Bendapos & Meterai,56038813,0
1/14/2023,Reg 6,Fronting,46517907,0
1/14/2023,Reg 6,Payment,87880880,0
1/14/2023,Reg 6,Remittance & Sharia,27202693,0
1/15/2023,Pospay,Bendapos & Meterai,0,0
1/15/2023,Pospay,Fronting,72170,0
1/15/2023,Pospay,Payment,28634137,0
1/15/2023,Pospay,Remittance & Sharia,-10618224,0
1/15/2023,Reg 1,Bendapos & Meterai,5501929,0
1/15/2023,Reg 1,Fronting,19003068,0
1/15/2023,Reg 1,Payment,-5032850,0
1/15/2023,Reg 1,Remittance & Sharia,6573215,0
1/15/2023,Reg 2,Bendapos & Meterai,8553906,0
1/15/2023,Reg 2,Fronting,6812798,0
1/15/2023,Reg 2,Payment,163325,0
1/15/2023,Reg 2,Remittance & Sharia,8156363,0
1/15/2023,Reg 3,Bendapos & Meterai,2939518,0
1/15/2023,Reg 3,Fronting,9768580,0
1/15/2023,Reg 3,Payment,-721037,0
1/15/2023,Reg 3,Remittance & Sharia,12443472,0
1/15/2023,Reg 4,Bendapos & Meterai,3695952,0
1/15/2023,Reg 4,Fronting,9726011,0
1/15/2023,Reg 4,Payment,-2434243,0
1/15/2023,Reg 4,Remittance & Sharia,4478183,0
1/15/2023,Reg 5,Bendapos & Meterai,5627472,0
1/15/2023,Reg 5,Fronting,16530437,0
1/15/2023,Reg 5,Payment,-3752561,0
1/15/2023,Reg 5,Remittance & Sharia,6331413,0
1/15/2023,Reg 6,Bendapos & Meterai,4742762,0
1/15/2023,Reg 6,Fronting,17096732,0
1/15/2023,Reg 6,Payment,-4205999,0
1/15/2023,Reg 6,Remittance & Sharia,8404395,0
1/16/2023,Pospay,Bendapos & Meterai,0,0
1/16/2023,Pospay,Fronting,88433,0
1/16/2023,Pospay,Fund Distribution,6925,0
1/16/2023,Pospay,Payment,103268544,0
1/16/2023,Pospay,Remittance & Sharia,40821382,0
1/16/2023,Reg 1,Bendapos & Meterai,167121941,0
1/16/2023,Reg 1,Fronting,59654204,0
1/16/2023,Reg 1,Fund Distribution,35927855,0
1/16/2023,Reg 1,Payment,220662033,0
1/16/2023,Reg 1,Remittance & Sharia,40169928,0
1/16/2023,Reg 2,Bendapos & Meterai,189274849,0
1/16/2023,Reg 2,Fronting,29691915,0
1/16/2023,Reg 2,Fund Distribution,2648441,0
1/16/2023,Reg 2,Payment,95641812,0
1/16/2023,Reg 2,Remittance & Sharia,51759726,0
1/16/2023,Reg 3,Bendapos & Meterai,83902855,0
1/16/2023,Reg 3,Fronting,33035816,0
1/16/2023,Reg 3,Fund Distribution,3690919,0
1/16/2023,Reg 3,Payment,61466029,0
1/16/2023,Reg 3,Remittance & Sharia,91336967,0
1/16/2023,Reg 4,Bendapos & Meterai,124946742,0
1/16/2023,Reg 4,Fronting,33802107,0
1/16/2023,Reg 4,Fund Distribution,3689780,0
1/16/2023,Reg 4,Payment,134634894,0
1/16/2023,Reg 4,Remittance & Sharia,30943827,0
1/16/2023,Reg 5,Bendapos & Meterai,161554962,0
1/16/2023,Reg 5,Fronting,65639815,0
1/16/2023,Reg 5,Fund Distribution,5664117,0
1/16/2023,Reg 5,Payment,134992576,0
1/16/2023,Reg 5,Remittance & Sharia,74138225,0
1/16/2023,Reg 6,Bendapos & Meterai,138844307,0
1/16/2023,Reg 6,Fronting,62744866,0
1/16/2023,Reg 6,Fund Distribution,8221961,0
1/16/2023,Reg 6,Payment,199370088,0
1/16/2023,Reg 6,Remittance & Sharia,47051949,0
1/17/2023,Pospay,Bendapos & Meterai,0,0
1/17/2023,Pospay,Fronting,74466,0
1/17/2023,Pospay,Fund Distribution,113826,0
1/17/2023,Pospay,Payment,96689568,0
1/17/2023,Pospay,Remittance & Sharia,10095514,0
1/17/2023,Reg 1,Bendapos & Meterai,162281993,0
1/17/2023,Reg 1,Fronting,58500158,0
1/17/2023,Reg 1,Fund Distribution,98663463,0
1/17/2023,Reg 1,Payment,188990431,0
1/17/2023,Reg 1,Remittance & Sharia,28858605,0
1/17/2023,Reg 2,Bendapos & Meterai,275014682,0
1/17/2023,Reg 2,Fronting,29405709,0
1/17/2023,Reg 2,Fund Distribution,43530027,0
1/17/2023,Reg 2,Payment,83033485,0
